company,name,year,Financial_Holding_Company,TA,size,month,Brokerage_Revenue,Underwriting_Revenue,Director_Compensation,Board_Size,Major_Shareholder_ Ownership,Foreign_Ownership_Ratio
5869,元富期貨,2021,1,12640385,16.35240741,12,577099,0,0,,,
6005,群益證券,2021,0,203693939,19.13212913,12,7945138,151211,91238,11,27.35,0
6008,凱基證券,2021,1,403188435,19.81491459,12,16698232,1064977,0,,,
6016,康和證券,2021,0,39388848,17.48899329,12,2126601,41303,81177,11,20.59,0
6024,群益期貨,2021,0,46607536,17.6572728,12,1780477,0,7196,7,7.67,0
000102,合作金庫證券,2022,1,28583009,17.16832301,12,839585,73891,0,,,
000116,日盛證券,2022,1,51929005,17.76538806,12,3744467,37386,5500,,,
000616,中信證券,2022,1,29720996,17.20736429,12,1248593,125815,0,,,
000779,國票證券,2022,1,71716890,18.08823684,12,2083598,61143,22094,,,
000815,台新證券,2022,1,47142092,17.66867683,12,2032300,327437,0,,,
000884,玉山證券,2022,1,17797038,16.6945426,12,2347472,12694,7082,,,
000888,國泰證券,2022,1,51234856,17.75193064,12,4446865,104751,0,,,
000930,華南永昌證券,2022,1,51147271,17.7502197,12,3239686,89667,0,,,
000960,富邦證券,2022,1,138636888,18.74736876,12,6209594,300906,0,,,
000980,元大證券,2022,1,824638893,20.53045614,12,20158199,948971,0,,,
0009A0,永豐金證券,2022,1,170271841,18.95290678,12,7253066,205702,12000,,,
026000,富邦期貨,2022,1,26739270,17.10164383,12,814937,0,0,,,
2856,元富證券,2022,1,105842991,18.47746734,12,3581971,172271,0,,,
31872,元大期貨,2022,1,112355395,18.53717758,,,,,,,
5869,元富期貨,2022,1,13597282,16.42538048,12,559798,0,0,,,
6005,群益證券,2022,0,191616641,19.07100727,12,5449536,97262,10930,11,26.98,0
6008,凱基證券,2022,1,381070383,19.75849465,12,11738610,572466,44000,,,
6016,康和證券,2022,0,35847027,17.39477119,12,1543234,34993,290,11,19.01,0
6024,群益期貨,2022,0,50043368,17.72840055,12,1996416,0,11473,7,7.87,0
000102,合作金庫證券,2023,1,36032718,17.39993792,12,930013,40381,0,,,
000616,中信證券,2023,1,37895118,17.45033285,12,1579917,150730,0,,,
000779,國票證券,2023,1,87506345,18.28722186,12,2344433,53984,30214,,,
000815,台新證券,2023,1,62207434,17.94598507,,,,,,,
000884,玉山證券,2023,1,24801254,17.02640477,12,2628452,43091,9087,,,
000888,國泰證券,2023,1,69549465,18.05754878,12,5749148,78173,0,,,
000930,華南永昌證券,2023,1,71311399,18.08256675,12,3490191,171213,0,,,
000960,富邦證券,2023,1,243639827,19.31120157,12,10412334,486681,0,,,
000980,元大證券,2023,1,959838735,20.68227584,12,22224967,878568,0,,,
0009A0,永豐金證券,2023,1,223691667,19.22577917,12,8027871,315450,26400,,,
026000,富邦期貨,2023,1,32412454,17.29405329,,,,,,,
2856,元富證券,2023,1,143736372,18.78349143,12,3832195,220726,0,,,
31872,元大期貨,2023,1,112637446,18.53968478,,,,,,,
5869,元富期貨,2023,1,11232680,16.23433794,12,445433,0,0,,,
6005,群益證券,2023,0,246910732,19.32453742,12,5337531,90923,17926,11,26.98,0
6008,凱基證券,2023,1,425032318,19.86767577,12,13383785,819084,80000,,,
6016,康和證券,2023,0,40315013,17.51223449,12,1541164,33033,55097,10,17.43,0
6024,群益期貨,2023,0,49340093,17.71424755,12,1631578,0,14749,7,7.26,0
000102,合作金庫證券,2024,1,,,,,,,,,
000616,中信證券,2024,1,,,,,,,,,
000779,國票證券,2024,1,,,,,,,,,
000815,台新證券,2024,1,,,,,,,,,
000884,玉山證券,2024,1,,,,,,,,,
000888,國泰證券,2024,1,,,,,,,,,
000930,華南永昌證券,2024,1,,,,,,,,,
000960,富邦證券,2024,1,,,,,,,,,
000980,元大證券,2024,1,,,,,,,,,
0009A0,永豐金證券,2024,1,,,,,,,,,
026000,富邦期貨,2024,1,,,,,,,,,
2856,元富證券,2024,1,,,,,,,,,
31872,元大期貨,2024,1,,,,,,,,,
5869,元富期貨,2024,1,,,,,,,,,
6005,群益證券,2024,0,,,,,,,11,28.13,0
6008,凱基證券,2024,1,,,,,,,,,
6016,康和證券,2024,0,,,,,,,11,16.84,0
6024,群益期貨,2024,0,,,,,,,7,7.64,0
