sample,year,ln_total_cost_adj,ln_total_asset_adj,ln_price_capital_adj,ln_price_labour_adj,ln_total_asset_adj_square,ln_price_inter,ln_asset_capital,ln_asset_labour,efficiency
15,15,15,18,0.5212,6.7902,332,3.5394,9.4926,123.659,0.063840318
16,15,13,17,0.3406,6.7855,288,2.3113,5.7832,115.2032,0.25353777
17,15,11,13,0.1224,6.9612,177,0.852,1.6287,92.6305,0.150020547
19,15,13,17,0.188,7.2036,294,1.3542,3.2247,123.5684,0.719338999
20,15,12,17,0.1982,7.168,283,1.4206,3.3324,120.5217,0.787723064
21,15,14,18,0.2341,7.0608,313,1.6528,4.143,124.9677,0.696657831
22,15,12,16,0.1113,6.7704,253,0.7538,1.7701,107.6375,0.135823594
1,16,17,20,0.1964,7.3246,408,1.4387,3.9688,147.9961,0.922474619
3,16,14,17,0.3401,6.6769,278,2.2705,5.6664,111.2572,0.252195409
4,16,16,18,0.3075,7.0863,340,2.1792,5.6733,130.7296,0.280121528
5,16,14,16,0.5572,6.7435,262,3.7574,9.0116,109.0652,0.060383819
6,16,14,17,0.3592,6.9233,278,2.4865,5.9895,115.4573,0.211512804
10,16,14,17,0.3325,7.1709,290,2.3846,5.6632,122.1242,0.255198598
14,16,15,17,0.3706,6.7603,301,2.5053,6.4318,117.3293,0.180379513
15,16,15,18,0.4426,6.8181,333,3.0174,8.0717,124.3519,0.102662089
16,16,13,17,0.3499,6.6972,284,2.3435,5.8985,112.8923,0.23747547
17,16,11,13,0.1281,6.838,174,0.8763,1.6913,90.2466,0.168729905
19,16,13,17,0.2319,7.2617,300,1.6837,4.0187,125.8635,0.741813365
20,16,12,17,0.1381,7.0689,275,0.9764,2.2918,117.2844,0.268465915
21,16,14,18,0.2236,7.178,321,1.605,4.0088,128.69,0.780106071
22,16,12,16,0.1646,6.7277,255,1.1076,2.6312,107.5198,0.427615979
1,17,17,20,0.1814,7.278,409,1.3199,3.6693,147.2578,0.857585387
3,17,14,17,0.2539,6.8651,285,1.7432,4.2845,115.8354,0.577782388
4,17,15,19,0.3005,7.0265,345,2.1116,5.5792,130.447,0.312217406
5,17,14,16,0.5447,6.7592,267,3.6814,8.8975,110.4169,0.063779258
6,17,14,17,0.3599,6.9462,290,2.4998,6.124,118.2007,0.205424105
10,17,14,17,0.2874,7.34,296,2.1096,4.9486,126.3782,0.382525276
14,17,15,18,0.2612,6.886,308,1.7987,4.5814,120.771,0.49847923
15,17,15,18,0.3852,6.8781,334,2.6494,7.0399,125.7069,0.15317752
16,17,13,17,0.2744,6.7999,281,1.8662,4.5972,113.9071,0.483444505
17,17,11,13,0.1166,6.892,174,0.8034,1.5373,90.8921,0.12830953
19,17,13,17,0.2476,7.2007,301,1.7827,4.2943,124.9029,0.614044715
20,17,12,17,0.1386,7.0935,276,0.9834,2.3049,117.9293,0.272342418
21,17,14,18,0.2113,7.223,322,1.5264,3.7905,129.5543,0.917261569
22,17,12,16,0.1368,6.8547,252,0.9376,2.1727,108.8811,0.24909157
1,18,17,20,0.1766,7.5281,418,1.3295,3.6095,153.8582,0.81369883
3,18,15,17,0.2141,7.2024,296,1.5417,3.6824,123.9046,0.882444043
5,18,14,17,0.5166,7.0766,279,3.6557,8.6299,118.219,0.072257966
6,18,14,17,0.3415,7.1193,295,2.4311,5.8658,122.2919,0.234633233
10,18,15,18,0.3186,7.4181,317,2.3633,5.6718,132.0665,0.26592461
14,18,15,18,0.4284,7.1075,317,3.0445,7.6251,126.5202,0.113932527
15,18,15,18,0.3982,7.0383,341,2.8024,7.3578,130.062,0.136051825
16,18,13,17,0.2798,7.0231,292,1.9651,4.7786,119.9444,0.441258073
17,18,11,13,0.1367,6.9026,176,0.9438,1.8129,91.5247,0.205826738
19,18,13,17,0.2555,7.2861,305,1.8617,4.4635,127.2761,0.552950941
20,18,12,17,0.1393,7.1252,282,0.9928,2.3411,119.7115,0.280097661
21,18,14,18,0.2059,7.1904,331,1.4803,3.7479,130.9004,0.976093312
22,18,12,16,0.1434,6.8201,256,0.9781,2.2931,109.0445,0.287493073
1,19,17,20,0.1653,7.7303,419,1.2782,3.385,158.2515,0.679750254
3,19,15,17,0.1945,7.3759,299,1.4345,3.3616,127.4904,0.869179685
5,19,14,17,0.558,7.3557,290,4.1044,9.5076,125.335,0.055537984
6,19,14,17,0.3679,7.4571,305,2.7437,6.4215,130.1475,0.181828472
10,19,15,18,0.2843,7.4067,319,2.1056,5.0766,132.2649,0.37006207
14,19,15,18,0.3946,7.3117,324,2.8855,7.1021,131.5859,0.14141313
15,19,16,19,0.3811,7.3199,346,2.7894,7.0924,136.2355,0.147959939
16,19,14,17,0.2931,7.1714,297,2.1021,5.0485,123.5162,0.364548662
17,19,11,13,0.1825,7.0482,181,1.2862,2.4533,94.7554,0.490425018
19,19,13,17,0.2293,7.2704,305,1.6669,4.0016,126.8912,0.760365749
20,19,12,17,0.1493,7.209,287,1.0761,2.5292,122.1489,0.347588112
21,19,14,18,0.187,7.192,331,1.3447,3.4023,130.8666,0.772796931
22,19,12,16,0.145,7.1632,261,1.039,2.3422,115.6727,0.306597141
1,20,17,20,0.1528,7.2475,412,1.1077,3.1021,147.104,0.520664638
3,20,14,17,0.1768,6.8211,295,1.2061,3.0345,117.0605,0.610113516
